Brand,Name,Graphics Processor__GPU Name,Graphics Processor__Architecture,Release_Year_Normalized,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Graphics Card__Bus Interface,Board Design__TDP,Render Config__Shading Units,Theoretical Performance__FP32 (float),Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__Shader Model,Recommended Resolutions
AMD,Radeon R4 Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,192.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R4E Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,192.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R5 430 OEM,Oland,GCN 1.0,2016,2 GB,GDDR5,64 bit,pcie x3.0 x8,50 W,384.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R5 435 OEM,Banks,GCN 1.0,2016,2 GB,DDR3,64 bit,pcie x3.0 x8,50 W,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Unplayable:1366x768
AMD,Radeon R5 M420,Jet,GCN 1.0,2016,4 GB,DDR3,64 bit,unknown,unknown,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R5 M430,Exo,GCN 1.0,2016,2 GB,DDR3,64 bit,unknown,unknown,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Unplayable:1366x768
AMD,Radeon R5 M430,Jet,GCN 1.0,2016,2 GB,DDR3,64 bit,unknown,unknown,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Unplayable:1366x768
AMD,Radeon R5 M430,Jet,GCN 1.0,2016,4 GB,DDR3,64 bit,unknown,unknown,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R5 M435,Jet,GCN 1.0,2016,2 GB,GDDR5,64 bit,unknown,unknown,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Unplayable:1366x768
AMD,Radeon R5 M445,Meso,GCN 3.0,2016,4 GB,GDDR5,64 bit,unknown,unknown,384.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Playable:1280x720 | Unplayable:1366x768
AMD,Radeon R5 M465,Meso,GCN 3.0,2016,4 GB,DDR3,64 bit,unknown,unknown,384.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Playable:1280x720 | Low FPS:1366x768
AMD,Radeon R5 Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,192.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R5E Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,192.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R6 M435DX,Jet,GCN 1.0,2016,System Shared,System Shared,System Shared,unknown,unknown,384.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Low FPS:1366x768
AMD,Radeon R6E Mobile Graphics,Wani,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,384.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R7 350,Cape Verde,GCN 1.0,2016,2 GB,GDDR5,128 bit,pcie x3.0 x16,55 W,512.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Low FPS:1366x768 | Unplayable:1600x900
AMD,Radeon R7 430 OEM,Oland,GCN 1.0,2016,2 GB,DDR3,128 bit,pcie x3.0 x8,50 W,384.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R7 435 OEM,Oland,GCN 1.0,2016,2 GB,DDR3,64 bit,pcie x3.0 x8,50 W,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
AMD,Radeon R7 450 OEM,Cape Verde,GCN 1.0,2016,2 GB,GDDR5,128 bit,pcie x3.0 x16,65 W,512.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Low FPS:1366x768 | Unplayable:1600x900
AMD,Radeon R7 M440,Meso,GCN 3.0,2016,4 GB,DDR3,64 bit,unknown,unknown,320.0,unknown,12 (12_0),4.6,6.5,Good:640x480 | Low FPS:1280x720 | Unplayable:1366x768
